,Filename,Unnamed: 1,Unnamed: 2,Blind,Visual,Visually Impaired,Unnamed: 6,Unnamed: 7,Comment,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status,Expert Status
142,2020-07-14_13-52-42_000.MOV,,,1.0,,,,,doesn't move. probably not blind but with decreased sight,,,25.0,32.0,6.0,836.6762342,2,1
143,2020-07-16_12-05-17_000.MOV,,,,,1.0,,,close to blind,,,43.0,69.0,16.0,957.7484528,2,2
144,2020-07-17_12-45-41_000.MOV,,,1.0,,,,,"appears blind, but doesn’t move",,,25.0,28.0,6.0,699.6194538,2,1
145,2020-07-23_10-04-15_000.MOV,,,1.0,,,,,,,,35.0,14.0,5.0,673.9404843,3,1
146,2020-08-06_13-09-59_000.MOV,,,,1.0,,,,,,,10.0,37.0,5.0,1125.121176,2,3
147,2020-08-27_10-02-37_000.MOV,,,,,1.0,,,almost blind but could see big black things,,,13.0,14.0,3.0,587.2902021,2,2
148,2020-10-15_13-19-55_000.mov,,,,1.0,,,,slightly suspicions,,,5.0,18.0,2.0,1428.116613,1,3
149,2020-10-15_16-07-29_000.mov,,,1.0,,,,,pretending that it can see someghint,,,27.0,28.0,5.0,707.8057552,2,1
150,2020-11-10_13-56-37_000.mov,,,1.0,,,,,"appears blind, but doesn’t move",,,32.0,56.0,10.0,782.9977472,2,1
151,2020-11-12_09-52-17_000.mov,,,,1.0,,,,no info at all,,,13.0,38.0,5.0,1097.813987,2,3
152,2020-11-13_13-24-51_000.mov,,,,1.0,,,,,,,31.0,39.0,4.0,1044.901751,2,3
153,2020-11-13_14-20-44_000.mov,,,,1.0,,,,,,,13.0,29.0,4.0,1120.316171,2,3
154,2020-11-24_10-32-36_000.mov,,,1.0,,,,,,,,0.0,20.0,4.0,1065.832284,1,1
155,2020-12-10_09-38-28_000.mov,,,1.0,,,,,,,,52.0,70.0,13.0,873.0665763,2,1
156,2020-12-10_10-20-58_000.mov,,,,1.0,,,,,,,43.0,66.0,12.0,999.1402643,2,3
157,2020-12-15_10-47-17_000.mov,,,,1.0,,,,,,,31.0,19.0,4.0,617.0138789,3,3
158,2020-12-17_16-40-35_000.mov,,,,1.0,,,,,,,27.0,48.0,10.0,825.3993454,2,3
159,2020-12-18_14-20-09_000.mov,,,,,1.0,,,,,,35.0,50.0,9.0,698.1783343,2,2
160,2021-01-08_13-30-04_000.mov,,,,1.0,,,,,,,29.0,53.0,4.0,1027.099863,2,3
161,2021-01-22_14-35-51_000.mov,,,,,1.0,,,doesn't move. probably not blind but with decreased sight,,,9.0,39.0,12.0,1007.095334,2,2
162,2021-01-29_14-31-35_000.mov,,,1.0,,,,,,,,13.0,19.0,4.0,883.8852355,2,1
163,2021-02-11_15-53-10_000.mov,,,1.0,,,,,assume it was blind but didnt move too much ,,,20.0,35.0,10.0,925.7781368,2,1
164,2021-02-16_10-27-52_000.mov,,,1.0,,,,,,,,14.0,21.0,6.0,736.9743195,2,1
165,2021-02-26_11-22-36_000.mov,,,,,1.0,,,,,,21.0,50.0,14.0,854.9840639,2,2
166,2021-03-02_10-36-32_000.mov,,,,,1.0,,,no info at all,,,10.0,42.0,9.0,911.5505857,2,2
167,2021-03-04_11-12-21_000.mov,,,1.0,,,,,hit the door but out of the frame,,,23.0,64.0,6.0,1264.180871,2,1
168,2021-03-05_11-46-05_000.mov,,,1.0,,,,,,,,7.0,35.0,4.0,1447.108081,1,1
169,2021-03-19_10-24-57_000.mov,,,,1.0,,,,,,,38.0,78.0,13.0,1132.346778,2,3
170,2021-04-06_11-17-15_000.mov,,,1.0,,,,,,,,13.0,47.0,4.0,1172.562053,2,1
171,2021-04-30_13-16-09_000.mov,,,,1.0,,,,,,,5.0,18.0,2.0,1196.317389,1,3
172,2021-05-04_10-37-33_000.mov,,,1.0,,,,,,,,21.0,41.0,8.0,839.6872798,2,1
173,2021-05-11_15-13-09_000.mov,,,1.0,,,,,,,,64.0,56.0,19.0,657.2189655,2,1
174,2021-06-08_13-33-05_000.mov,,,1.0,,,,,,,,35.0,46.0,4.0,872.6759857,2,1
175,2021-06-11_10-36-36_000.mov,,,1.0,,,,,,,,49.0,59.0,12.0,965.0726666,2,1
176,2021-06-22_12-29-57_000.mov,,,1.0,,,,,,,,14.0,28.0,2.0,1095.067301,2,1
177,2021-06-25_15-16-48_000.mov,,,1.0,,,,,,,,14.0,37.0,9.0,898.6649336,2,1
178,2021-06-28_15-18-37_000.mov,,,,,1.0,,,,,,114.0,70.0,18.0,534.0657285,2,2
179,2021-06-29_10-18-12_000.mov,,,,1.0,,,,,,,24.0,42.0,8.0,955.3088765,2,3
180,2021-07-01_10-53-08_000.mov,,,,,,,,no info at all,,,14.0,29.0,5.0,1112.063747,2,
181,2021-07-01_10-53-40_000.mov,,,1.0,,,,,,,,22.0,61.0,8.0,1201.008537,2,1
182,2021-07-01_11-50-16_000.mov,,,,,1.0,,,almost blind but could see big black things,,,22.0,41.0,7.0,947.697131,2,2
183,2021-07-02_12-47-45_000.mov,,,,1.0,,,,,,,10.0,25.0,2.0,1193.923241,2,3
184,2021-07-06_10-57-46_000.mov,,,,1.0,,,,,,,35.0,32.0,6.0,705.6928472,2,3
185,2021-07-08_12-26-13_000.mov,,,1.0,,,,,,,,49.0,48.0,5.0,654.3087117,2,1
186,2021-07-12_11-04-54_000.mov,,,1.0,,,,,,,,26.0,27.0,10.0,713.7542687,2,1
187,2021-07-19_10-02-03_000.mov,,,1.0,,,,,,,,29.0,46.0,9.0,1015.100991,2,1
188,2021-07-19_16-16-36_000.mov,,,1.0,,,,,,,,17.0,47.0,4.0,1469.630592,2,1
189,2021-07-26_11-40-39_000.mov,,,1.0,,,,,,,,26.0,63.0,5.0,1071.714311,2,1
190,2021-07-26_16-58-23_000.mov,,,,,1.0,,,almost blind but could see big black things,,,27.0,72.0,13.0,1262.790638,2,2
191,2021-08-06_09-39-22_000.mov,,,1.0,,,,,,,,15.0,52.0,7.0,1146.468309,2,1
192,2021-08-12_10-32-58_000.mov,,,,1.0,,,,,,,24.0,48.0,8.0,965.7843457,2,3
193,2021-08-12_10-44-12_000.mov,,,,,1.0,,,,,,45.0,81.0,10.0,993.9251261,2,2
194,2021-08-16_11-49-15_000.mov,,,,1.0,,,,,,,15.0,36.0,6.0,1253.416201,2,3
195,2021-08-17_13-39-56_000.mov,,,1.0,,,,,,,,16.0,33.0,5.0,1353.048588,2,1
196,2021-08-17_15-27-32_000.mov,,,,,,,,doesn’t move at all,,,20.0,30.0,3.0,1045.902701,2,
197,2021-08-24_12-56-59_000.mov,,,,1.0,,,,,,,27.0,60.0,13.0,1220.225851,2,3
198,2021-08-27_14-35-57_000.mov,,,,,1.0,,,,,,15.0,33.0,4.0,1102.685387,2,2
199,2021-08-30_16-22-06_000.mov,,,1.0,,,,,,,,37.0,44.0,6.0,949.2466881,2,1
200,2021-09-02_12-23-47_000.mov,,,1.0,,,,,,,,27.0,53.0,10.0,1186.857045,2,1
201,2021-09-13_10-28-16_000.mov,,,1.0,,,,,,,,18.0,34.0,7.0,1037.082356,2,1
202,2021-09-14_12-06-08_000.mov,,,1.0,,,,,,,,13.0,53.0,13.0,1062.259792,2,1
203,2021-09-20_15-14-59_000.mov,,,1.0,,,,,,,,24.0,43.0,5.0,1107.633077,2,1
204,2021-09-20_16-18-09_000.mov,,,1.0,,,,,,,,15.0,39.0,7.0,989.2166198,2,1
205,2021-09-21_17-08-35_000.mov,,,,,1.0,,,there is no enough data,,,8.0,30.0,1.0,1243.24285,2,2
206,2021-09-23_11-22-50_000.mov,,,,1.0,,,,,,,37.0,80.0,16.0,1174.21485,2,3
207,2021-09-24_11-12-25_000.mov,,,,1.0,,,,,,,15.0,35.0,1.0,1118.328627,2,3
208,2021-10-05_10-04-26_000.mov,,,1.0,,,,,,,,41.0,90.0,20.0,1017.649974,2,1
209,2021-10-11_17-12-55_000.mov,,,,1.0,,,,,,,28.0,57.0,4.0,1134.355562,2,3
210,2021-10-12_10-43-00_000.mov,,,1.0,,,,,,,,53.0,118.0,28.0,1039.343364,2,1
211,2021-10-19_12-07-43_000.mov,,,1.0,,,,,,,,30.0,78.0,12.0,1073.882525,2,1
212,2021-10-21_12-09-42_000.mov,,,1.0,,,,,,,,42.0,52.0,8.0,744.71557,2,1
213,2021-11-02_13-02-05_000.mov,,,1.0,,,,,doesn’t move at all,,,26.0,65.0,23.0,801.3862781,2,1
214,2021-11-08_16-13-25_000.mov,,,1.0,,,,,,,,30.0,57.0,8.0,1205.523863,2,1
215,2021-11-09_10-01-28_000.mov,,,,,1.0,,,,,,9.0,33.0,1.0,1432.509465,2,2
216,2021-12-10_14-54-26_000.mov,,,,1.0,,,,,,,5.0,25.0,4.0,1489.665076,1,3
217,2021-12-13_12-12-39_000.mov,,,1.0,,,,,,,,48.0,41.0,9.0,815.7215594,2,1
218,2021-12-14_11-05-54_000.mov,,,,1.0,,,,,,,37.0,81.0,23.0,1010.556388,2,3
219,2021-12-16_10-34-06_000.mov,,,1.0,,,,,,,,43.0,57.0,14.0,789.2911904,2,1
220,2021-12-20_11-45-58_000.mov,,,1.0,,,,,,,,42.0,59.0,16.0,844.0585976,2,1
221,2022-01-04_16-07-54_000.mov,,,,1.0,,,,,,,2.0,30.0,5.0,1509.985094,1,3
222,2022-01-13_11-06-39_000.mov,,,1.0,,,,,,,,30.0,38.0,3.0,832.5210159,2,1
223,2022-01-25_10-35-49_000.mov,,,1.0,,,,,,,,30.0,33.0,6.0,874.7026779,2,1
224,2022-01-31_16-25-39_000.mov,,,1.0,,,,,,,,27.0,46.0,8.0,898.3449327,2,1
225,2022-02-01_12-08-09_000.mov,,,1.0,,,,,,,,18.0,31.0,9.0,1099.210923,2,1
226,2022-02-08_11-25-30_000.mov,,,1.0,,,,,,,,24.0,40.0,5.0,850.1016735,2,1
227,2022-02-22_11-11-41_000.mov,,,1.0,,,,,doesn’t move at all,,,26.0,38.0,10.0,840.8093752,2,1
228,2022-02-25_11-34-14_000.mov,,,,1.0,,,,,,,11.0,39.0,4.0,1237.741036,2,3
229,2022-03-25_09-28-34_000.mov,,,,,1.0,,,,,,26.0,37.0,7.0,756.3743726,2,2
230,2022-04-01_13-46-21_000.mov,,,,1.0,,,,,,,18.0,49.0,16.0,898.3088577,2,3
231,2022-04-22_12-34-24_000.mov,,,,1.0,,,,,,,13.0,24.0,4.0,948.9570375,2,3
232,2022-04-22_14-57-10_000.mov,,,,,1.0,,,"the dog hit his head once, but on the side without an eye",,,37.0,76.0,13.0,1077.475958,2,2
233,2022-04-28_10-47-40_000.mov,,,1.0,,,,,,,,31.0,49.0,12.0,933.5330379,2,1
234,2022-05-06_10-27-36_000.mov,,,1.0,,,,,,,,29.0,49.0,15.0,833.7370857,2,1
235,2022-05-10_13-37-34_000.mov,,,1.0,,,,,,,,15.0,27.0,2.0,891.631236,2,1
236,2022-07-21_12-12-27_000.mov,,,,1.0,,,,,,,55.0,55.0,7.0,653.4869084,2,3
237,2022-07-21_12-35-36_000.mov,,,1.0,,,,,,,,45.0,53.0,13.0,836.9962169,2,1
238,2022-07-25_11-07-09_000.mov,,,1.0,,,,,,,,23.0,45.0,10.0,959.7602722,2,1
239,2022-08-05_12-37-33_000.mov,,,1.0,,,,,,,,32.0,71.0,14.0,929.1050803,2,1
240,2022-08-09_10-35-02_000.mov,,,1.0,,,,,,,,9.0,35.0,6.0,1218.810857,2,1
241,2022-08-18_10-27-33_000.mov,,,,,1.0,,,there is no enough data,,,6.0,26.0,2.0,1546.133072,1,2
242,2022-08-29_10-46-38_000.mov,,,,,1.0,,,there is no enough data,,,9.0,36.0,3.0,1032.318032,2,2
243,2022-09-26_14-52-58_000.mov,,,1.0,,,,,,,,32.0,49.0,9.0,953.6559938,2,1
244,2022-09-29_10-40-26_000.mov,,,1.0,,,,,,,,53.0,71.0,17.0,966.1717659,2,1
245,2022-10-07_10-21-01_000.mov,,,,1.0,,,,it passed it but i think it couldnt see well,,,8.0,35.0,5.0,1241.15443,2,3
246,2022-10-11_09-56-13_000.mov,,,1.0,,,,,,,,32.0,42.0,10.0,864.9434685,2,1
247,2022-10-11_10-37-28_000.mov,,,1.0,,,,,,,,4.0,25.0,3.0,1297.114727,1,1
248,2022-11-18_15-59-50_000.mov,,,,1.0,,,,,,,9.0,30.0,3.0,990.9239719,2,3
249,2022-12-05_16-37-25_000.mov,,,1.0,,,,,,,,41.0,61.0,18.0,715.4759465,2,1
250,2022-12-06_10-40-31_000.mov,,,1.0,,,,,,,,23.0,49.0,4.0,1008.015787,2,1
251,2023-01-09_17-03-29_000.mov,,,1.0,,,,,,,,44.0,38.0,11.0,633.7956184,2,1
252,2023-01-16_10-41-51_000 (1).mov,,,1.0,,,,,,,,4.0,18.0,1.0,1407.514909,1,1
253,2023-01-16_10-41-51_000.mov,,,1.0,,,,,,,,4.0,18.0,1.0,1407.514909,1,1
254,2023-01-26_11-45-32_000 (1).mov,,,1.0,,,,,,,,13.0,32.0,2.0,1317.940748,2,1
255,2023-01-26_11-45-32_000.mov,,,1.0,,,,,,,,13.0,32.0,2.0,1317.940748,2,1
256,2023-01-30_11-07-17_000.mov,,,1.0,,,,,,,,35.0,42.0,7.0,839.640308,2,1
257,2023-01-31_12-51-12_000.mov,,,,,,,,a possible moment of collision was blocked by a basket,,,13.0,32.0,2.0,1114.963381,2,
258,2023-02-14_12-32-25_000.mov,,,1.0,,,,,,,,2.0,16.0,1.0,1348.118022,1,1
259,2023-03-03_10-27-13_000.mov,,,1.0,,,,,,,,22.0,60.0,21.0,889.0114993,2,1
260,2023-03-10_11-30-13_000.mov,,,1.0,,,,,,,,20.0,42.0,9.0,948.52287,2,1
261,2023-03-16_10-23-03_000.mov,,,,,1.0,,,almost blind,,,29.0,42.0,9.0,1161.64314,2,2
262,2023-04-04_11-31-17_000.mov,,,1.0,,,,,,,,13.0,29.0,6.0,1179.645176,2,1
263,2023-04-10_10-22-53_000.mov,,,1.0,,,,,blind or almost blind,,,7.0,35.0,3.0,1425.76303,1,1
264,2023-05-04_11-00-40_000.mov,,,1.0,,,,,,,,29.0,54.0,5.0,1066.43083,2,1
265,2023-05-05_12-14-04_000.mov,,,1.0,,,,,there is no enough data,,,13.0,33.0,4.0,1106.460655,2,1
266,2023-05-16_11-56-37_000.mov,,,1.0,,,,,blind or almost blind,,,24.0,49.0,16.0,715.8389819,2,1
267,2023-06-08_11-17-33_000.mov,,,1.0,,,,,,,,41.0,60.0,14.0,872.3517897,2,1
268,2023-06-09_12-01-57_000.mov,,,1.0,,,,,,,,11.0,28.0,2.0,1182.952677,2,1
