Filename,Unnamed: 1,Unnamed: 2,Blind,Visual,Visually Impaired,Unnamed: 6,Unnamed: 7,Comment,Unnamed: 9,Assign value 1 in the category for which you believe dog belongs based on the results of the visual maze testing,Preemptive Navigation,Reactive Turn,Disoriented Circling,Mean Speed (pixels/sec),Visual Status
2023-09-14_10-17-33_000.mov,,,,1.0,,,,,,,7.0,21.0,1.0,1360.652994,Blind
2023-10-27_14-05-34_000.mov,,,,1.0,,,,there is no enough data,,,14.0,48.0,11.0,1034.922501,Visually Impaired
2023-12-07_15-09-56_000.mov,,,,1.0,,,,there is no enough data,,,14.0,26.0,5.0,1155.089298,Visually Impaired
2024-01-23_11-51-44_000.mov,,,,1.0,,,,,,,26.0,37.0,6.0,896.5992547,Visually Impaired
2024-03-13_09-35-34_000.mov,,,,1.0,,,,,,,4.0,18.0,3.0,1496.989791,Blind
2024-03-26_12-15-29_000.mov,,,,1.0,,,,,,,1.0,23.0,1.0,1514.813269,Blind
2024-08-07_10-09-17_000.mov,,,,1.0,,,,passed it but maybe had decreased sight,,,8.0,28.0,5.0,1047.90173,Visually Impaired
2024-09-09_11-10-39_000.mov,,,,1.0,,,,,,,10.0,13.0,2.0,941.0227467,Visually Impaired
2024-10-28_15-21-57_000.mov,,,,1.0,,,,,,,2.0,17.0,0.0,1680.332256,Blind
2024-10-29_11-21-12_000.mov,,,,1.0,,,,,,,5.0,14.0,1.0,1349.018267,Blind
2024-11-01_11-05-33_000.mov,,,,1.0,,,,could have decreased vision,,,23.0,54.0,8.0,970.0978708,Visually Impaired
2024-12-10_13-14-51_000.mov,,,,1.0,,,,could have decreased vision,,,3.0,15.0,2.0,1307.012383,Blind
2024-12-12_09-36-29_000.mov,,,,1.0,,,,,,,2.0,9.0,0.0,1135.948388,Blind
2024-12-17_17-35-27_000.mov,,,,1.0,,,,,,,16.0,62.0,5.0,1471.975921,Visually Impaired
2025-03-17_11-25-29_000.mov,,,,1.0,,,,the dog passed the maze but was uncertain,,,5.0,32.0,4.0,1565.965639,Blind
2025-04-07_10-34-04_000.mov,,,,1.0,,,,,,,5.0,11.0,2.0,1253.998607,Blind
2025-04-10_09-58-55_000.mov,,,,1.0,,,,,,,12.0,12.0,3.0,850.8700993,Visually Impaired
2025-05-29_10-38-20_000.mov,,,,1.0,,,,,,,5.0,18.0,0.0,1375.331695,Blind
2025-05-29_11-56-12_000.mov,,,,1.0,,,,,,,3.0,10.0,0.0,908.8900975,Blind
21.wmv,,,,1.0,,,,,,,,,,,
25.wmv,,,,1.0,,,,,,,,,,,
32.wmv,,,,1.0,,,,,,,,,,,
Benji Jersey - IMR maze.mpg,,,,1.0,,,,,,,,,,,
IMG_0979.MOV,,,,1.0,,,,,,,19.0,45.0,6.0,1202.33853,Visually Impaired
IMG_1007.MOV,,,,1.0,,,,,,,25.0,34.0,4.0,1124.119859,Visually Impaired
IMG_2377.MOV,,,,1.0,,,,,,,9.0,39.0,3.0,1275.142934,Visually Impaired
IMG_2406.MOV,,,,1.0,,,,,,,11.0,19.0,3.0,868.0536701,Visually Impaired
IMG_2431.MOV,,,,1.0,,,,,,,46.0,34.0,6.0,700.357327,Visually Impaired
IMG_3660.MOV,,,,1.0,,,,,,,2.0,12.0,1.0,1211.029969,Blind
IMG_3874.MOV,,,,1.0,,,,,,,7.0,12.0,0.0,1124.497604,Blind
IMG_3961.MOV,,,,1.0,,,,,,,4.0,43.0,6.0,1637.40234,Blind
IMG_4333.MOV,,,,1.0,,,,probably had decreased sight,,,15.0,31.0,8.0,1021.084004,Visually Impaired
IMG_4762.MOV,,,,1.0,,,,,,,31.0,33.0,6.0,849.3497973,Visually Impaired
IMG_4849.MOV,,,,1.0,,,,,,,2.0,6.0,0.0,1251.105205,Blind
IMR-Roxy.mpg,,,,1.0,,,,,,,,,,,
Intermediate SARDS Maggie 22 months.wmv,,,,1.0,,,,,,,,,,,
iPhone Aug 31 2016 083.MOV,,,,1.0,,,,probably was blind but lucky,,,13.0,35.0,4.0,1492.421571,Visually Impaired
iPhone Aug 31 2016 313.MOV,,,,1.0,,,,,,,13.0,35.0,5.0,1121.849999,Visually Impaired
iPhone Aug 31 2016 358.MOV,,,,1.0,,,,,,,44.0,48.0,6.0,829.2224922,Visually Impaired
iPhone Aug 31 2016 368.MOV,,,,1.0,,,,,,,10.0,20.0,2.0,1290.478629,Visually Impaired
iPhone Aug 31 2016 552.MOV,,,,1.0,,,,,,,17.0,38.0,2.0,1334.840472,Visually Impaired
Luna maze post IVIg 4.mpg,,,,1.0,,,,,,,,,,,
Luna pre IVIg in the room.mpg,,,,1.0,,,,,,,,,,,
M2U00034.MPG,,,,1.0,,,,,,,,,,,
M2U00043.MPG,,,,1.0,,,,,,,,,,,
M2U00046.MPG,,,,1.0,,,,,,,,,,,
M2U00052.MPG,,,,1.0,,,,,,,,,,,
Mov10.wmv,,,,1.0,,,,,,,,,,,
Mov27.wmv,,,,1.0,,,,there is no enough data,,,,,,,
Mov35.wmv,,,,1.0,,,,,,,,,,,
Mov7.wmv,,,,1.0,,,,,,,,,,,
Mov9.wmv,,,,1.0,,,,,,,,,,,
October 2019 exam room camera videos 005.MPG,,,,1.0,,,,,,,,,,,
October 2019 exam room camera videos 011.MPG,,,,1.0,,,,,,,,,,,
October 2019 exam room camera videos 023.MPG,,,,1.0,,,,,,,,,,,
Roxi maze 2.mpg,,,,1.0,,,,,,,,,,,
Roxi Maze post IVIg.wmv,,,,1.0,,,,,,,,,,,
SARDs post-IVIg response.wmv,,,,1.0,,,,,,,,,,,
Sassy SARDS April 29 2016 3 y post IVIg.wmv,,,,1.0,,,,,,,,,,,
